Date,Open,High,Low
2023/10/10,2600.83641234941,2611.53744116402,2575.05666111423
2023/10/11,2612.0238867958,2615.9151700536,2585.27131439845
2023/10/12,2598.40414031926,2643.15389339102,2595.97208852188
2023/10/13,2607.64612594327,2638.77639120355,2597.43150765474
2023/10/16,2622.23824793357,2654.34133165896,2600.34978175716
2023/10/17,2658.23274563931,2691.79506209844,2638.28991991723
2023/10/18,2697.14545895822,2729.24854287008,2690.33571388601
2023/10/19,2689.84934261717,2711.25139886946,2647.04523011259
2023/10/20,2623.21115425333,2695.68630018023,2621.26551275194
2023/10/23,2650.93649282368,2666.01521415901,2622.23828125
2023/10/24,2643.64037405867,2650.45011927244,2540.03496473493
2023/10/25,2632.93919639053,2676.71612742233,2628.07509294255
2023/10/26,2607.15961444843,2639.74910962903,2579.43422302612
2023/10/27,2614.45587887596,2668.93384323579,2597.43151501351
2023/10/30,2626.61607013081,2636.34427779796,2588.18964984556
2023/10/31,2626.12962298774,2638.28988240146,2554.62729763504
2023/11/01,2704.44155706633,2753.08259226536,2641.20821130758
2023/11/02,2704.44149347762,2724.87072778087,2658.23251112503
2023/11/06,2749.67796990239,2798.80541992187,2748.21873871369
2023/11/07,2796.85968740702,2821.18020642795,2751.13711164767
2023/11/08,2741.40889151278,2755.51479248046,2648.99091965554
2023/11/09,2696.6592405582,2716.11565643524,2641.20845530862
2023/11/10,2691.30860553729,2740.9224637995,2681.5803980349
2023/11/13,2757.94681640625,2777.4032313368,2728.76219401041
2023/11/14,2772.53927261571,2784.21312218462,2743.35464869344
2023/11/15,2793.45494048351,2799.77827571358,2768.16159956323
2023/11/16,2776.916784235,2793.45473670723,2738.00395488856
2023/11/17,2728.76219550108,2781.29451584227,2725.8437332599
2023/11/20,2782.26756897687,2795.88706057326,2699.09138815606
2023/11/21,2699.57761407119,2699.57761407119,2608.61887284032
2023/11/22,2601.32271191913,2640.23554231433,2592.5673250802
2023/11/24,2657.25987132194,2657.7462816956,2623.69755553918
2023/11/27,2631.96648080331,2637.80340517397,2609.10519368489
2023/11/28,2631.48027460327,2651.90951148559,2600.8364192798
2023/11/29,2617.86079532156,2640.23567391406,2588.67617107049
2023/11/30,2577.97485713788,2622.724609375,2556.57280172014
2023/12/01,2637.80360982875,2654.82797389735,2627.58899138759
2023/12/04,2621.75197107583,2621.75197107583,2566.78759765625
2023/12/05,2559.49125906204,2571.16510745001,2522.03766215065
2023/12/06,2538.57560523159,2587.70305036062,2530.30662931878
2023/12/07,2556.57279696505,2561.43690046004,2517.17355865566
2023/12/08,2511.3367906075,2511.82320098725,2433.99754022854
2023/12/11,2508.90479569,2548.30403734391,2500.63581904658
2023/12/12,2575.05656560604,2577.48861751916,2526.41552734375
2023/12/13,2521.06500003937,2536.63013220245,2508.90474053696
2023/12/14,2505.01355831007,2521.55151189892,2463.18226393829
2023/12/15,2509.87755511297,2522.52422496431,2483.61139465248
2023/12/18,2470.96475884822,2479.23373540342,2444.21218764022
