7939株式会社研創と同じ動きをする株
2153Ｅ・Ｊホールディングス株式会社
6210東洋機械金属株式会社
6393油研工業株式会社
6459大和冷機工業株式会社
7417株式会社南陽
8065佐藤商事株式会社
