8031三井物産株式会社と同じ動きをする株
5351品川リフラクトリーズ株式会社
6590芝浦メカトロニクス株式会社
7182株式会社ゆうちょ銀行
8031三井物産株式会社
8053住友商事株式会社
8058三菱商事株式会社
8158ソーダニッカ株式会社
8306株式会社三菱ＵＦＪフィナンシャル・グループ
8316株式会社三井住友フィナンシャルグループ
8381株式会社山陰合同銀行
8411株式会社みずほフィナンシャルグループ
8714株式会社池田泉州ホールディングス
9107川崎汽船株式会社
