Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ÇªÇÃëº,ïœçXïÒçêèë,ó’éûïÒçêèë,élîºä˙ïÒçêèë,óLâøèÿåîïÒçêèë
2023/10/11,2189.36348442884,2207.379034972,2174.19249449776,2201.2158203125,987600,0,0,,,,,
2023/10/12,2205.00855817145,2209.27539907094,2187.94119457347,2192.68212890625,1056900,0,0,,,,,
2023/10/13,2169.92580509101,2170.87399202791,2132.47242108354,2141.00610351562,907500,0,0,,,,,
2023/10/16,2114.45663097292,2135.79083464866,2106.87113633266,2120.14575195312,792900,0,0,,,,,
2023/10/17,2154.75456337667,2167.55508553534,2114.45662324751,2136.73901367187,363000,0,0,,,,,
2023/10/18,2146.69511895874,2151.91014685374,2132.94640905375,2143.37646484375,364000,0,0,,,,,
2023/10/19,2108.76755045536,2125.36082029932,2096.91521485253,2108.29345703125,414500,0,0,,,,,
2023/10/20,2092.17436293012,2134.36867933637,2085.06296128862,2109.7158203125,414800,0,0,,,,,
2023/10/23,2119.67152526146,2155.228529152,2114.45649802418,2122.0419921875,586000,0,0,,,,,
2023/10/24,2168.97761887454,2168.97761887454,2067.52161659276,2115.87915039062,801900,0,0,,,,,
2023/10/25,2130.10175618489,2159.02145507812,2120.61988769531,2133.42041015625,442300,0,0,,,,,
2023/10/26,2119.1976938977,2140.05780542599,2102.13032992,2113.98266601562,503100,0,0,,,,,
2023/10/27,2104.9749320278,2153.33246425006,2103.55265166833,2152.38427734375,478800,0,0,,,,,
2023/10/30,2112.08618964976,2124.88671201127,2084.58877124354,2095.49291992187,567700,0,0,,,,,
2023/10/31,2086.95932568711,2106.8712501939,2052.8245979612,2101.18212890625,621600,0,0,,,,,
2023/11/01,2147.64318697481,2165.18464346887,2127.25716996821,2158.0732421875,761000,0,0,,,,,
2023/11/02,2199.79345383986,2206.9048550915,2102.60430340082,2103.55249023437,801900,0,0,,,,,
2023/11/06,2156.17692859857,2176.0888527413,2145.27277966327,2163.28833007812,764100,0,0,,,,,
2023/11/07,2169.45152030765,2181.30385597367,2134.36860673624,2141.9541015625,872000,0,0,,,,,
2023/11/08,2180.82972129168,2191.73386989814,2142.42815446024,2153.80639648437,863300,0,0,,,,,
2023/11/09,2153.80644835561,2186.51889496281,2138.63545862473,2175.61474609375,577100,0,0,,,,,
