Date,Open
2019/10/9,1467.265465
2019/10/10,1459.896882
2019/10/11,1433.185869
2019/10/15,1355.815889
2019/10/16,1323.578387
2019/10/17,1307.920216
2019/10/18,1306.078128
2019/10/21,1321.736303
2019/10/23,1350.289501
2019/10/24,1349.368389
2019/10/25,1332.789135
2019/10/28,1377.000621
2019/10/29,1375.158357
2019/10/30,1404.632628
2019/10/31,1420.290881
2019/11/1,1415.685529
2019/11/5,1408.316891
2019/11/6,1409.237776
2019/11/7,1379.763691
2019/11/8,1406.474788
2019/11/11,1400.948202
2019/11/12,1432.264823
2019/11/13,1447.001726
2019/11/14,1453.449378
2019/11/15,1459.896816
2019/11/18,1486.607766
2019/11/19,1467.265459
2019/11/20,1519.766514
2019/11/21,1505.029464
2019/11/22,1525.292786
2019/11/25,1545.556399
2019/11/26,1547.398572
2019/11/27,1591.609891
2019/11/28,1579.636084
2019/11/29,1559.372512
2019/12/2,1531.740232
2019/12/3,1556.609266
2019/12/4,1575.03062
2019/12/5,1602.662772
2019/12/6,1593.452111
2019/12/9,1576.872808
2019/12/10,1559.37243
2019/12/11,1565.81991
2019/12/12,1547.39854
2019/12/13,1554.767149
2019/12/16,1513.318846
2019/12/17,1542.793163
2019/12/18,1538.187837
2019/12/19,1507.792473
2019/12/20,1478.318297
2019/12/23,1476.476177
2019/12/24,1490.291948
2019/12/25,1501.344995
2019/12/26,1482.923603
2019/12/27,1515.161057
2019/12/30,1484.765693
2020/1/6,1439.633162
2020/1/7,1436.870236
2020/1/8,1468.186536
2020/1/9,1463.581106
2020/1/10,1495.8186
2020/1/14,1482.923515
2020/1/15,1451.607087
2020/1/16,1476.476007
2020/1/17,1501.344967
2020/1/20,1500.423892
2020/1/21,1466.344316
2020/1/22,1467.265487
2020/1/23,1448.844112
2020/1/24,1455.291569
2020/1/27,1430.42262
2020/1/28,1391.737438
2020/1/29,1377.000436
2020/1/30,1351.210504
2020/1/31,1310.683357
2020/2/3,1258.182349
2020/2/4,1290.419903
2020/2/5,1316.209672
2020/2/6,1328.183684
2020/2/7,1328.183583
2020/2/10,1305.157091
2020/2/12,1295.025262
2020/2/13,1295.025234
2020/2/14,1295.946371
2020/2/17,1259.103472
2020/2/18,1251.734816
2020/2/19,1209.365654
2020/2/20,1236.997733
2020/2/21,1205.681304
2020/2/25,1116.337524
2020/2/26,1095.152892
2020/2/27,1094.231887
2020/2/28,1023.309404
2020/3/2,1015.01969
2020/3/3,1065.678644
2020/3/4,1008.572249
2020/3/5,1038.967649
2020/3/6,995.6773346
2020/3/9,930.281281
2020/3/10,865.8063394
2020/3/11,910.9388213
2020/3/12,845.5427425
2020/3/13,779.2257299
2020/3/16,781.9887911
2020/3/17,734.0932348
2020/3/18,786.5942349
2020/3/19,715.6718332
2020/3/23,641.9861622
2020/3/24,694.4871997
2020/3/25,828.0424796
2020/3/26,838.174182
2020/3/27,820.6738892
2020/3/30,806.857848
2020/3/31,792.1206665
2020/4/1,787.5153183
2020/4/2,737.7774988
2020/4/3,782.9099507
2020/4/6,711.0664607
2020/4/7,816.9896021
2020/4/8,816.9895602
2020/4/9,874.0959303
2020/4/10,900.8069869
2020/4/13,837.2531249
2020/4/14,828.9635694
2020/4/15,896.2016774
2020/4/16,888.8331143
2020/4/17,959.7555113
2020/4/20,955.1502257
2020/4/21,955.1501504
2020/4/22,964.3608728
2020/4/23,941.3341959
2020/4/24,956.9923856
2020/4/27,962.5187906
2020/4/28,1001.203647
2020/4/30,1021.467192
2020/5/1,985.5455419
2020/5/7,960.6766858
2020/5/8,1005.809107
2020/5/11,1037.125464
2020/5/12,1119.100706
2020/5/13,1059.231145
2020/5/14,1068.442015
2020/5/15,1062.915379
2020/5/18,1048.178286
2020/5/19,1086.863247
2020/5/20,1094.231992
2020/5/21,1109.890121
2020/5/22,1103.442539
2020/5/25,1101.600312
2020/5/26,1169.759677
2020/5/27,1211.207801
2020/5/28,1198.534046
2020/5/29,1192.924609
2020/6/1,1190.11991
2020/6/2,1186.380394
2020/6/3,1220.036538
2020/6/4,1219.10171
2020/6/5,1213.492231
2020/6/8,1206.013164
2020/6/9,1219.101671
2020/6/10,1228.450571
2020/6/11,1182.640656
2020/6/12,1084.476957
2020/6/15,1090.086297
2020/6/16,1100.370055
2020/6/17,1121.8727
2020/6/18,1104.109699
2020/6/19,1093.825852
2020/6/22,1112.523813
2020/6/23,1121.872732
2020/6/24,1110.65387
2020/6/25,1093.825974
2020/6/26,1083.541871
2020/6/29,1091.956043
2020/6/30,1114.393506
2020/7/1,1120.002861
2020/7/2,1076.997886
2020/7/3,1057.365055
2020/7/6,1092.891036
2020/7/7,1122.807563
2020/7/8,1105.044507
2020/7/9,1094.760836
2020/7/10,1074.19309
2020/7/13,1089.151364
2020/7/14,1116.263282
2020/7/15,1131.221685
2020/7/16,1131.221649
2020/7/17,1153.659123
2020/7/20,1132.15651
2020/7/21,1235.929815
2020/7/22,1225.645856
2020/7/27,1206.01317
2020/7/28,1230.320371
2020/7/29,1195.729295
2020/7/30,1152.724263
2020/7/31,1148.984594
2020/8/3,1163.943044
2020/8/4,1215.362047
2020/8/5,1225.645892
2020/8/6,1206.013201
2020/8/7,1214.42727
2020/8/11,1198.534027
2020/8/12,1251.822998
2020/8/13,1249.018254
2020/8/14,1267.716136
2020/8/17,1254.627649
2020/8/18,1282.674412
2020/8/19,1303.242112
2020/8/20,1322.874862
2020/8/21,1323.80989
2020/8/24,1346.247404
2020/8/25,1342.507644
2020/8/26,1335.96333
2020/8/27,1333.158681
2020/8/28,1300.437498
2020/8/31,1278.934922
2020/9/1,1316.330707
2020/9/2,1368.684814
2020/9/3,1385.512647
2020/9/4,1335.028609
2020/9/7,1362.14046
2020/9/8,1368.684581
2020/9/9,1377.098809
2020/9/10,1400.471029
2020/9/11,1442.541234
2020/9/14,1506.114042
2020/9/15,1444.411127
2020/9/16,1488.351205
2020/9/17,1466.848674
2020/9/18,1453.759976
2020/9/23,1472.457899
2020/9/24,1450.955436
2020/9/25,1449.085413
2020/9/28,1463.109067
2020/9/29,1514.528103
2020/9/30,1547.249446
2020/10/2,1478.067181
2020/10/5,1508.918857
2020/10/6,1523.877003
2020/10/7,1476.197493
2020/10/8,1466.84849
2020/10/9,1495.830208
2020/10/12,1467.783487
2020/10/13,1511.723399
2020/10/14,1540.70509
2020/10/15,1540.705094
2020/10/16,1864.178467
2020/10/19,1789.386951
2020/10/20,1735.163165
2020/10/21,1774.428836
2020/10/22,1723.009422
2020/10/23,1688.418564
2020/10/26,1595.864045
2020/10/27,1589.319662
2020/10/28,1569.686809
2020/10/29,1554.728541
2020/10/30,1542.574894
2020/11/2,1496.765246
2020/11/4,1550.989134
2020/11/5,1599.603488
2020/11/6,1631.389801
2020/11/9,1631.389835
2020/11/10,1682.809079
2020/11/11,1661.306433
2020/11/12,1645.413395
2020/11/13,1651.957403
2020/11/16,1654.762144
2020/11/17,1711.790771
2020/11/18,1692.15801
2020/11/19,1652.89241
2020/11/20,1681.874041
2020/11/24,1694.962637
2020/11/25,1751.99121
2020/11/26,1710.855914
2020/11/27,1750.121454
2020/11/30,1740.77243
2020/12/1,1686.548606
2020/12/2,1774.428461
2020/12/3,1775.363552
2020/12/4,1789.386972
2020/12/7,1843.610786
2020/12/8,1762.275038
2020/12/9,1729.553785
2020/12/10,1766.014535
2020/12/11,1819.303614
2020/12/14,1924.946579
2020/12/15,1953.928212
2020/12/16,2053.961885
2020/12/17,2048.352466
2020/12/18,2047.41777
2020/12/21,2101.641357
2020/12/22,2067.050409
2020/12/23,2006.282334
2020/12/24,1983.845065
2020/12/25,1981.040159
2020/12/28,2000.672947
2020/12/29,1959.537546
2020/12/30,1964.21202
2021/1/4,1951.123637
2021/1/5,1851.089949
2021/1/6,1941.774679
2021/1/7,1999.738351
2021/1/8,2056.766502
2021/1/12,2039.938342
2021/1/13,2056.766658
2021/1/14,2134.362701
2021/1/15,1882.87634
2021/1/18,1785.647368
2021/1/19,1820.238363
2021/1/20,1790.321988
2021/1/21,1773.493794
2021/1/22,1777.233358
2021/1/25,1776.298462
2021/1/26,1780.972929
2021/1/27,1815.563835
2021/1/28,1798.735784
2021/1/29,1808.084913
2021/2/1,1748.251623
2021/2/2,1805.280189
2021/2/3,1852.024844
2021/2/4,1879.136804
2021/2/5,1906.248677
2021/2/8,1906.248517
2021/2/9,1935.2305
2021/2/10,1932.425706
2021/2/12,1888.485738
2021/2/15,1878.201803
2021/2/16,1854.829376
2021/2/17,1857.634184
2021/2/18,1856.699355
2021/2/19,1776.298496
2021/2/22,1826.782613
2021/2/24,1803.410315
2021/2/25,1766.949548
2021/2/26,1734.228104
2021/3/1,1711.790873
2021/3/2,1738.902689
2021/3/3,1708.985986
2021/3/4,1692.157959
2021/3/5,1676.264798
2021/3/8,1680.939214
2021-03-09 00:00:00+09:00,1624.845585
2021-03-10 00:00:00+09:00,1663.176272
2021-03-11 00:00:00+09:00,1645.413147
2021-03-12 00:00:00+09:00,1682.809125
2021-03-15 00:00:00+09:00,1686.548592
2021-03-16 00:00:00+09:00,1680.004353
2021-03-17 00:00:00+09:00,1715.530243
2021-03-18 00:00:00+09:00,1729.553724
2021-03-19 00:00:00+09:00,1757.600648
2021-03-22 00:00:00+09:00,1789.386818
2021-03-23 00:00:00+09:00,1770.689017
2021-03-24 00:00:00+09:00,1719.269878
2021-03-25 00:00:00+09:00,1680.004513
2021-03-26 00:00:00+09:00,1729.553923
2021-03-29 00:00:00+09:00,1753.861084
2021-03-30 00:00:00+09:00,1737.967861
2021-03-31 00:00:00+09:00,1741.707446
2021-04-01 00:00:00+09:00,1758.53548
2021-04-02 00:00:00+09:00,1762.275109
2021-04-05 00:00:00+09:00,1806.215028
2021-04-06 00:00:00+09:00,1794.996441
2021-04-07 00:00:00+09:00,1789.387011
2021-04-08 00:00:00+09:00,1785.64738
