Date,Close
2023/10/10,1535.261963
2023/10/11,1514.856567
2023/10/12,1540.120361
2023/10/13,1477.932495
2023/10/16,1358.415283
2023/10/17,1426.433228
2023/10/18,1383.679077
2023/10/19,1351.613525
2023/10/20,1323.434692
2023/10/23,1295.255737
2023/10/24,1304.000977
2023/10/25,1315.661133
2023/10/26,1315.661133
2023/10/27,1314.689453
2023/10/30,1285.53894
2023/10/31,1302.057617
2023/11/1,1321.491211
2023/11/2,1332.17981
2023/11/6,1362.302002
2023/11/7,1365.217041
2023/11/8,1360.358643
2023/11/9,1392.424194
2023/11/10,1408.942871
2023/11/13,1378.820679
2023/11/14,1401.169434
2023/11/15,1692.674805
2023/11/16,1834.540771
2023/11/17,1993.897095
2023/11/20,2201.837646
2023/11/21,2104.669189
2023/11/22,2039.566284
2023/11/24,2085.235596
2023/11/27,2064.830078
2023/11/28,2122.159424
2023/11/29,2164.913574
2023/11/30,2278.60083
2023/12/1,2402.976318
2023/12/4,2468.079346
2023/12/5,2343.703613
2023/12/6,2317.468018
2023/12/7,2242.648438
2023/12/8,2728.490723
2023/12/11,2778.046631
2023/12/12,2649.784424
2023/12/13,2683.793213
2023/12/14,2623.548828
2023/12/15,2638.124023
2023/12/18,2642.982422
2023/12/19,2658.529541
2023/12/20,2568.162842
2023/12/21,2477.796143
2023/12/22,2601.200195
2023/12/25,2564.276123
2023/12/26,2560.389404
2023/12/27,2610.916992
2023/12/28,2581.766357
2023/12/29,2567.191162
2024/1/4,2552.615967
2024/1/5,2508.890137
2024/1/9,2468.079346
2024/1/10,2444.758789
2024/1/11,2460.305908
2024/1/12,2470.994385
2024/1/15,2357.307129
2024/1/16,2365.080811
2024/1/17,2397.14624
2024/1/18,2502.088135
2024/1/19,2586.624756
2024/1/22,2614.803711
2024/1/23,2653.671143
2024/1/24,2646.869385
2024/1/25,2623.548828
2024/1/26,2661.44458
2024/1/29,2665.331299
2024/1/30,2652.699463
2024/1/31,2633.265625
2024/2/1,2654.642822
2024/2/2,2624.520508
2024/2/5,2611.888672
2024/2/6,2619.662109
2024/2/7,2628.407227
2024/2/8,2652.699463
2024/2/9,2759.584717
2024/2/13,2759.584717
2024/2/14,2756.669678
2024/2/15,2705.17041
2024/2/16,2613.832031
2024/2/19,2588.568115
2024/2/20,2664.359619
2024/2/21,2621.605469
2024/2/22,2609.945313
2024/2/26,2751.811279
2024/2/27,2755.697998
2024/2/28,2734.320801
2024/2/29,2786.791992
2024/3/1,2783.876709
2024/3/4,2779.98999
2024/3/5,2767.358154
2024/3/6,2813.999023
2024/3/7,2833.432861
2024/3/8,2846.064697
2024/3/11,2759.584717
2024/3/12,2765.414795
2024/3/13,2740.151123
2024/3/14,2781.93335
2024/3/15,2754.726318
2024/3/18,2764.443115
2024/3/19,2760.556396
2024/3/21,2784.848389
2024/3/22,2816.914063
2024/3/25,2711.000488
2024/3/26,2729.462402
2024/3/27,2748.89624
2024/3/28,2694.481934
2024/3/29,2705.17041
2024/4/1,2674.076416
2024/4/2,2722.660645
2024/4/3,2681.849854
2024/4/4,2593.426514
2024/4/5,2608.001953
2024/4/8,2623.548828
2024/4/9,2636.180664
2024/4/10,2602.171875
2024/4/11,2617.71875
2024/4/12,2623.548828
2024/4/15,2137.706543
2024/4/16,2012.359131
2024/4/17,1974.463379
2024/4/18,2083.291992
2024/4/19,2074.546875
2024/4/22,2080.376953
2024/4/23,2127.989502
2024/4/24,2172.687012
2024/4/25,2191.14917
2024/4/26,2196.007568
2024/4/30,2158.111816
2024/5/1,2168.800293
2024/5/2,2201.837646
2024/5/7,2199.894287
2024/5/8,2196.007568
2024/5/9,2184.347412
2024/5/10,2185.319092
2024/5/13,2196.007568
2024/5/14,2200.865967
2024/5/15,2233.90332
2024/5/16,2220.299561
2024/5/17,2207.667725
2024/5/20,2219.327881
2024/5/21,2190.17749
2024/5/22,2157.140137
2024/5/23,2162.970215
2024/5/24,2176.57373
2024/5/27,2171.715332
2024/5/28,2103.69751
2024/5/29,2059
2024/5/30,2138
2024/5/31,2185
2024/6/3,2158
2024/6/4,2213
2024/6/5,2169
2024/6/6,2153
2024/6/7,2172
2024/6/10,2162
2024/6/11,2172
2024/6/12,2170
